user_id,total_events,views,carts,purchases,unique_sessions,categories_browsed,brands_browsed,view_to_purchase_ratio,cart_to_purchase_ratio,events_per_session,purchase_conversion_rate,total_spend,avg_spend,spend_std,min_spend,max_spend,purchase_count,spend_range,spend_consistency,spending_per_day,avg_session_duration,total_session_time,max_session_duration,session_count,avg_events_per_session,total_revenue,avg_transaction,total_transactions,event_types_used,categories_purchased,brands_purchased,cluster,cluster_name,cluster_profile
518812053.0,4,4,0,0,1,2,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.916666666666667,4.916666666666667,4.916666666666667,1,4.0,447.29999999999995,111.82499999999999,4,1,2,2,3,Category_Explorers,"Most diverse, high engagement"
518815966.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,294.7485538399435,294.7485538399435,1,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
518840573.0,3,3,0,0,2,2,3,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,1.5,379.67,126.55666666666667,3,1,2,3,3,Category_Explorers,"Most diverse, high engagement"
518847663.0,5,5,0,0,1,1,3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,4.15,4.15,1,5.0,872.62,174.524,5,1,1,3,2,Budget_Browsers,"Price-sensitive, largest segment"
518908920.0,12,12,0,0,1,1,1,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233333333333333,4.233333333333333,4.233333333333333,1,12.0,3808.56,317.38,12,1,1,1,0,Efficient_Buyers,"High conversion, moderate spending"
518922372.0,4,4,0,0,2,2,2,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.8666666666666667,1.8666666666666667,2,2.0,899.74,224.935,4,1,2,2,3,Category_Explorers,"Most diverse, high engagement"
518929540.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,435.78,435.78,1,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
518942204.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,82.37,82.37,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
518962372.0,4,2,1,1,1,1,1,1.0,0.5,4.0,0.25,177.2,177.2,0.0,177.2,177.2,1.0,0.0,0.0,5.906666666666666,3.816666666666667,3.816666666666667,3.816666666666667,1,4.0,708.8,177.2,4,3,1,1,0,Efficient_Buyers,"High conversion, moderate spending"
518968885.0,6,6,0,0,1,1,1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,1,6.0,2310.48,385.08,6,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
519016531.0,5,5,0,0,1,1,4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,1.4666666666666666,1.4666666666666666,1,5.0,117.28999999999999,23.458,5,1,1,4,2,Budget_Browsers,"Price-sensitive, largest segment"
519030655.0,3,3,0,0,1,2,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.05,1,3.0,972.23,324.07666666666665,3,1,2,2,1,Premium_Customers,"Highest spending, premium buyers"
519036234.0,4,4,0,0,1,1,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1,4.0,133.70000000000002,33.425000000000004,4,1,1,2,2,Budget_Browsers,"Price-sensitive, largest segment"
519038909.0,6,6,0,0,1,1,3,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3166666666666667,1.3166666666666667,1.3166666666666667,1,6.0,1223.63,203.93833333333336,6,1,1,3,3,Category_Explorers,"Most diverse, high engagement"
519044163.0,2,2,0,0,1,1,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,1,2.0,1130.25,565.125,2,1,1,2,1,Premium_Customers,"Highest spending, premium buyers"
519047492.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,735.05,735.05,1,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
519055229.0,2,2,0,0,1,1,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,2.0,141.06,70.53,2,1,1,2,3,Category_Explorers,"Most diverse, high engagement"
519065384.0,4,4,0,0,1,1,1,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4833333333333334,3.4833333333333334,3.4833333333333334,1,4.0,720.64,180.16,4,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
519065801.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,48.88,48.88,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
519093799.0,3,3,0,0,1,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,1,3.0,1671.0,557.0,3,1,1,1,1,Premium_Customers,"Highest spending, premium buyers"
519107250.0,14,14,0,0,2,2,3,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.208333333333333,8.416666666666666,7.033333333333333,2,7.0,6801.95,485.8535714285714,14,1,2,3,1,Premium_Customers,"Highest spending, premium buyers"
519110631.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,73.57,73.57,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
519111408.0,9,9,0,0,1,1,4,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,11.45,11.45,1,9.0,212.04,23.56,9,1,1,4,2,Budget_Browsers,"Price-sensitive, largest segment"
519128420.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,39.64,39.64,1,1,1,1,2,Budget_Browsers,"Price-sensitive, largest segment"
519132528.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,66.63,66.63,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
519134193.0,2,2,0,0,1,1,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,1,2.0,97.81,48.905,2,1,1,2,3,Category_Explorers,"Most diverse, high engagement"
519145875.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,37.07,37.07,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
519178197.0,1,1,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,40.67,40.67,1,1,1,1,3,Category_Explorers,"Most diverse, high engagement"
