user_id,cluster,cluster_name,cluster_profile,total_spend,avg_spend,purchase_count,unique_sessions,categories_purchased,brands_purchased,cart_to_purchase_ratio,view_to_purchase_ratio
540388422.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
540451356.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,1.0,5.0
540508933.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
540523618.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
540537103.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,4.0
540557704.0,3,Category_Explorers,"Most diverse, high engagement",23.13,23.13,1.0,2,2,1,0.0,2.0
540629469.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,2.0
540642508.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
540660566.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
540737162.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,2,1,1,0.0,2.0
540742123.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
540755318.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
540815058.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
540815559.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
540817418.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
540915419.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
540917069.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
540920424.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,2.0
540931909.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,2.0
540951424.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,2,1,3,0.0,11.0
541069339.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
541150571.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,2.0
541159267.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
541217751.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
541290249.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
541316253.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,4,0.0,6.0
541324657.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,2,2,0.0,3.0
541329854.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
541359969.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,2,1,1,1.0,9.0
541366014.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
541398869.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,5,0.0,5.0
